id  , node_mac           , timestamp , received_at                 , air_quality_ppm, temperature, humidity, noise_db, mq135_raw, sound_raw, hop_count, seq_num, rssi, recv_rssi, battery_pct, peer_count, node_state
(42 , '28:05:A5:32:43:64', 1773928485, '2026-03-19T13:55:26.275821',           40.09, 31.7       , 49.1    ,     52.3,       159,      1621,         1,     252, -54 , -54      ,         100,          2, 1)
(43 , '28:05:A5:32:43:64', 1773928505, '2026-03-19T13:55:26.310709',           39.65, 31.7       , 49.1    ,     52.3,       157,      1618,         1,     254, -53 , -54      ,         100,          2, 1)
(44 , '1C:C3:AB:B3:7F:08', 1773928508, '2026-03-19T13:55:26.340749',            6.1 , 32.4       , 50.7    ,     51.2,         0,      1429,         1,     263, -75 , -78      ,         100,          2, 1)
(45 , '1C:C3:AB:B3:7F:08', 1773928488, '2026-03-19T13:55:26.376794',            6.1 , 32.4       , 50.7    ,     51.2,         0,      1425,         1,     261, -75 , -78      ,         100,          2, 1)
(46 , '28:05:A5:32:43:64', 1773928515, '2026-03-19T13:55:26.412384',           39.2 , 31.7       , 49.1    ,     52.3,       156,      1617,         1,     255, -54 , -54      ,         100,          2, 1)
(47 , '1C:C3:AB:B3:7F:08', 1773928518, '2026-03-19T13:55:26.446657',            6.1 , 32.4       , 50.7    ,     51.2,         0,      1430,         1,     264, -76 , -81      ,         100,          2, 1)
(48 , '28:05:A5:32:43:64', 1773928525, '2026-03-19T13:55:26.478689',           39.2 , 31.7       , 49.1    ,     52.3,       156,      1615,         1,     256, -53 , -52      ,         100,          2, 1)
(49 , '1C:C3:AB:B3:7F:08', 1773928478, '2026-03-19T13:55:29.053866',            6.1 , 32.4       , 50.7    ,     51.2,         0,      1425,         1,     260, -76 , -81      ,         100,          2, 1)
(50 , '1C:C3:AB:B3:7F:08', 1773928528, '2026-03-19T13:55:30.283859',            6.1 , 32.4       , 50.7    ,     51.3,         0,      1433,         1,     265, -75 , -80      ,         100,          2, 1)
(51 , '28:05:A5:32:43:64', 1773928545, '2026-03-19T13:56:08.514971',           38.32, 31.7       , 49.1    ,     52.3,       154,      1616,         1,     258, -52 , -52      ,         100,          2, 1)
(52 , '1C:C3:AB:B3:7F:08', 1773928548, '2026-03-19T13:56:08.548017',            6.1 , 32.4       , 50.7    ,     51.3,         0,      1437,         1,     267, -76 , -77      ,         100,          2, 1)
(53 , '1C:C3:AB:B3:7F:08', 1773928538, '2026-03-19T13:56:08.581370',            6.1 , 32.4       , 50.7    ,     51.3,         0,      1434,         1,     266, -75 , -82      ,         100,          2, 1)
(54 , '28:05:A5:32:43:64', 1773928555, '2026-03-19T13:56:08.615645',           37.89, 31.7       , 49.1    ,     52.3,       152,      1615,         1,     259, -53 , -53      ,         100,          2, 1)
(55 , '1C:C3:AB:B3:7F:08', 1773928558, '2026-03-19T13:56:08.653542',            6.1 , 32.4       , 50.6    ,     51.3,         0,      1437,         1,     268, -77 , -80      ,         100,          2, 1)
(56 , '28:05:A5:32:43:64', 1773928535, '2026-03-19T13:56:08.693613',           38.76, 31.7       , 49.1    ,     52.3,       155,      1617,         1,     257, -53 , -52      ,         100,          2, 1)
(57 , '28:05:A5:32:43:64', 1773928565, '2026-03-19T13:56:08.730304',           37.46, 31.7       , 49.1    ,     52.3,       151,      1606,         1,     260, -52 , -54      ,         100,          2, 1)
(58 , '1C:C3:AB:B3:7F:08', 1773928568, '2026-03-19T13:56:08.837269',            6.1 , 32.5       , 50.5    ,     51.3,         0,      1438,         1,     269, -75 , -76      ,         100,          2, 1)
(59 , '28:05:A5:32:43:64', 1773928575, '2026-03-19T13:56:16.466185',           36.19, 31.7       , 49.1    ,     52.2,       148,      1602,         1,     261, -51 , -55      ,         100,          2, 1)
